stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
50116-CAMINLOLA6,,CAMINO A DESIERTO DE LOS LEONES - LA ESCONDIDA,,19.33072431,-99.2882967,,,0,,0
50116-CAMINLOLA8,,CAMINO A DESIERTO DE LOS LEONES - LAS GRANJAS,,19.32573311,-99.28034663,,,0,,0
50116-CAMINLOLU3,,CAMINO A DESIERTO DE LOS LEONES - LUIS ECHEVERRÍA,,19.33030923,-99.25771952,,,0,,0
50116-CAMINLOMÁ8,,CAMINO A DESIERTO DE LOS LEONES - MÁXIMO SILVA,,19.3289931,-99.29132223,,,0,,0
50116-CAMINLOMO3,,CAMINO A DESIERTO DE LOS LEONES - MONTE ALEGRE,,19.32703914,-99.27329779,,,0,,0
50116-CAMINLOMO2,,CAMINO A DESIERTO DE LOS LEONES - MORAL,,19.3419413,-99.2275393,,,0,,0
50116-CAMINLOOC1,,CAMINO A DESIERTO DE LOS LEONES - OCOTILLO,,19.33963317,-99.237324,,,0,,0
50116-CAMINLOOJ7,,CAMINO A DESIERTO DE LOS LEONES - OJO DE AGUA,,19.32546988,-99.28277135,,,0,,0
50116-CAMINLOPR3,,CAMINO A DESIERTO DE LOS LEONES - PROGRESO,,19.33145324,-99.28987384,,,0,,0
50116-CAMINLORO8,,CAMINO A DESIERTO DE LOS LEONES - ROMULO O FARRIL,,19.34555527,-99.21019077,,,0,,0
50116-CAMINLOSA1,,CAMINO A DESIERTO DE LOS LEONES - SANTOS CASTILLO,,19.33257699,-99.28787827,,,0,,0
50116-CAMINLOTI9,,CAMINO A DESIERTO DE LOS LEONES - TIZAMPAPANO,,19.34272079,-99.22321558,,,0,,0
50116-CAMINLOTL0,,CAMINO A DESIERTO DE LOS LEONES - TLALOC,,19.32386011,-99.29166555,,,0,,0
5101D-CAMIN2DA.5,,CAMINO A LA BRECHA - 2DA. CERRADA LA BRECHA ,,19.55231889,-99.1267097,,,0,,0
5101D-CAMINADOL5,,CAMINO A LA BRECHA - ADOLFO LOPEZ MATEOS ,,19.55640335,-99.12682772,,,0,,0
5101D-CAMINATLA6,,CAMINO A LA BRECHA - ATLACOMULCO ,,19.55416904,-99.12539005,,,0,,0
5101D-CAMINAV._1,,CAMINO A LA BRECHA - AV. DEL CASTILLO ,,19.55719192,-99.12839413,,,0,,0
5101D-CAMINCASI5,,CAMINO A LA BRECHA - CASILDA,,19.55344112,-99.12586212,,,0,,0
5101D-CAMINCEDR1,,CAMINO A LA BRECHA - CEDROS ,,19.54666721,-99.12687063,,,0,,0
5101D-CAMINCOCO9,,CAMINO A LA BRECHA - COCOS ,,19.54741539,-99.12354469,,,0,,0
5101D-CAMINCOCO4,,CAMINO A LA BRECHA - COCOYOTES ,,19.54948802,-99.12783623,,,0,,0
5101D-CAMINDELI0,,CAMINO A LA BRECHA - DELICIAS ,,19.54769848,-99.12594795,,,0,,0
5101D-CAMINGOLO0,,CAMINO A LA BRECHA - GOLONDRINAS ,,19.54837588,-99.12757874,,,0,,0
5101D-CAMINHALC5,,CAMINO A LA BRECHA - HALCONES ,,19.54725362,-99.12770748,,,0,,0
